symbol,intrinsic_value
IBST.JK,313.95161721584833
ICBP.JK,8572.344925795047
IDEA.JK,18.390994627948512
IFII.JK,106.55720644724414
IKAN.JK,15.04205782756497
IKBI.JK,429.16115424757686
IMAS.JK,365.7598433280062
IMJS.JK,107.90038690385236
IMPC.JK,84.52546056150273
INCI.JK,763.7650930822184
INCO.JK,3734.860346941592
INDF.JK,11590.661041673065
INDO.JK,55.565702153574826
INDS.JK,3514.809842964104
INDY.JK,5740.902962871989
INKP.JK,21385.037235484626
INPC.JK,32.569244050496046
INPP.JK,46.675846475292246
INTP.JK,8054.152639332518
IPCC.JK,809.8055598731488
IPCM.JK,362.4750007259941
IPOL.JK,65.98917190060678
IPPE.JK,14.988032515626989
IRRA.JK,304.10041257734423
ISAT.JK,4653.483551092416
ISSP.JK,412.7164004377637
ITIC.JK,196.8048338208053
ITMG.JK,176555.07027805303
JARR.JK,16.7252702730716
JATI.JK,100.32440302545014
JAYA.JK,69.90679288160327
JECC.JK,2022.064830913623
JKON.JK,89.8527101431768
JPFA.JK,807.5688874120684
JRPT.JK,846.4324557839788
JSMR.JK,3713.4053657313843
JTPE.JK,256.2762499167668
KARW.JK,334.78385304303197
KAYU.JK,18.404738048417684
KBAG.JK,2.5432440977143056
KBLI.JK,189.41989344089004
KBLM.JK,267.49275705226574
KDSI.JK,2055.5651231014017
KEEN.JK,486.36273838873683
KEJU.JK,811.6421306225129
KKGI.JK,1268.7937789655311
KLBF.JK,1316.858456912357
KMDS.JK,565.5077713171262
KOBX.JK,34.44604031557213
KOPI.JK,40.291686007868016
KPIG.JK,47.770459436882895
KUAS.JK,64.14214041949606
LAJU.JK,40.796942799635154
LFLO.JK,46.89133147145116
LIFE.JK,1380.5478132059216
LINK.JK,1617.524673931981
LION.JK,50.679598198941584
LPCK.JK,683.6496973850478
LPGI.JK,517.729034301446
LPIN.JK,617.9770211049362
LPPF.JK,4610.168602508472
LSIP.JK,1415.2111995085434
LTLS.JK,1363.1299826178595
LUCK.JK,14.65183423529371
LUCY.JK,39.865098624332155
MAIN.JK,16.334202625336783
MAPA.JK,451.149629256487
MAPB.JK,524.9748498819333
MAPI.JK,1076.8308219692854
MARK.JK,569.0173302485164
MASA.JK,1083.2866282792386
MASB.JK,2004.1471799251424
MAYA.JK,12.523178140959518
MBSS.JK,2093.723403586044
MCAS.JK,285.51697379936115
MCOL.JK,16050.32372670023
MCOR.JK,32.361256447213165
MDIA.JK,10.468083544934045
MDKA.JK,27.024125898508554
MDKI.JK,215.5616632548032
MDRN.JK,59.30134167048936
MEDC.JK,1365.493586595015
MEDS.JK,19.309107123578517
MEGA.JK,3892.830940219866
MERK.JK,5454.917187185754
META.JK,19.822329687509473
MFIN.JK,2038.2658441906233
MFMI.JK,253.45123448878655
MGLV.JK,92.86326763340045
MICE.JK,859.528596116439
MIDI.JK,136.12355740545723
MKPI.JK,7529.906357525571
MKTR.JK,12.42384145242505
MLBI.JK,4958.426247081997
MLIA.JK,944.8020588674876
MLPT.JK,2186.158829817
MMLP.JK,149.14507301763211
MNCN.JK,2705.562502625455
MOLI.JK,179.99037596674668
MORA.JK,279.98200608806377
MPMX.JK,1496.105569477975
MRAT.JK,1360.1791846642298
MSIN.JK,448.84957361272876
MTDL.JK,615.7380983478482
MTEL.JK,244.49241548120693
MTLA.JK,554.248696486138
MTMH.JK,141.4361044812128
MYOH.JK,1043.0059232258295
MYOR.JK,1287.8008268914734
NELY.JK,999.8429735376674
NIKL.JK,153.60535440735865
NISP.JK,1697.9333751036831
NOBU.JK,138.9031280924423
NRCA.JK,294.9104451596287
NTBK.JK,5.661576380886145
OASA.JK,36.94145579589559
OILS.JK,72.61403587427837
OMED.JK,119.86311999376686
PANS.JK,4022.013964974619
PBID.JK,1950.9230421453517
PBRX.JK,111.5592353391417
PBSA.JK,423.0209342203282
PCAR.JK,10.464432832750322
PDPP.JK,132.00158588872588
PEHA.JK,360.1372861043821
PEVE.JK,132.30882705481287
PGAS.JK,889.1797069629603
PGEO.JK,565.8313608075889
PIPA.JK,4.234466436799129
PJAA.JK,259.6905937049311
PLIN.JK,1848.7968253286906
PMJS.JK,142.4294332828963
PNBN.JK,1147.6806959348914
PNBS.JK,47.431496883683444
PNGO.JK,2173.8858167844933
PNIN.JK,3330.813237744516
PNLF.JK,702.0694651922265
POLI.JK,125.18535926502085
POLL.JK,68.03841931603247
PORT.JK,23.310265852500105
POWR.JK,900.6140096408554
PPGL.JK,604053443603.0254
PPRE.JK,77.48410658335328
PPRO.JK,2.4181208893268815
PRAY.JK,130.31901085326624
PRDA.JK,5239.71458134187
